barley	artificial data	e-value	description
11_10641	1_0034	1.00E-149	none
12_30080	1_0035	2.00E-51	none
12_10203	1_0036	0	none
12_20278	1_0037	0	none
12_11438	1_0038	2.00E-30	none
11_20392	1_0039	7.00E-96	none
11_11249	1_0040	6.00E-60	none
12_30007	1_0041	1.00E-131	none
12_30966	1_0042	0	none
12_20350	1_0043	1.00E-47	none
12_10548	1_0044	0	none
12_20297	1_0045	1.00E-114	none
12_30719	1_0046	1.00E-116	none
11_20367	1_0047	1.00E-128	none
11_21001	1_0048	1.00E-107	none
12_10953	1_0049	8.00E-54	none
11_21309	1_0050	3.00E-95	none
12_20818	1_0051	0	none
11_10183	1_0052	0	none
12_10634	1_0053	1.00E-72	none
11_10127	1_0054	1.00E-116	none
11_21133	1_0055	1.00E-133	none
12_21128	1_0056	1.00E-176	none
11_20236	1_0057	0	none
12_10633	1_0058	0	none
11_20096	1_0059	4.00E-36	none
11_10167	1_0060	1.00E-151	none
11_20246	1_0061	1.00E-154	none
12_10140	1_0062	0	none
11_20736	1_0063	0	none
12_11515	1_0064	0	none
11_11355	1_0065	1.00E-138	none
12_30314	1_0066	1.00E-80	none
11_20645	1_0067	6.00E-41	none
12_21186	1_0068	0	none
11_21445	1_0069	1.00E-107	none
11_21480	1_0070	0	none
12_31427	1_0071	6.00E-37	none
12_10674	1_0072	1.00E-25	none
12_31361	1_0073	0	none
11_10524	1_0074	2.00E-57	none
12_11106	1_0075	0	none
11_21150	1_0076	1.00E-100	none
12_10930	1_0077	0	none
11_11290	1_0078	1.00E-153	none
12_21497	1_0079	1.00E-153	none
11_10578	1_0080	6.00E-26	none
11_20497	1_0081	6.00E-48	none
12_31271	1_0082	1.00E-115	none
11_20526	1_0083	1.00E-119	none
12_11134	1_0084	0	none
12_30533	1_0085	0	none
11_20097	1_0086	5.00E-66	none
11_10518	1_0087	1.00E-125	none
12_30834	1_0088	1.00E-125	none
11_10771	1_0089	3.00E-67	none
11_20449	1_0090	6.00E-71	none
11_11473	1_0091	2.00E-67	none
12_30182	1_0092	0	none
11_20850	1_0093	1.00E-173	none
12_10408	1_0094	5.00E-67	none
11_10622	1_0095	0	none
11_21421	1_0096	2.00E-51	none
11_10414	1_0097	3.00E-71	none
11_20327	1_0098	0	none
11_11350	1_0099	2.00E-41	none
12_20403	1_0100	1.00E-149	none
12_30098	1_0101	1.00E-154	none
11_20018	1_0102	5.00E-29	none
11_20134	1_0103	0	none
11_10024	1_0104	1.00E-48	none
11_20549	1_0105	1.00E-101	none
12_10844	1_0106	0.000000002	none
12_31417	1_0107	0	none
11_21314	1_0108	4.00E-36	none
11_21321	1_0109	3.00E-56	none
11_10834	1_0110	1.00E-113	none
12_30850	1_0111	4.00E-57	none
12_30854	1_0112	5.00E-11	none
12_30855	1_0113	5.00E-11	none
12_30847	1_0114	1.00E-68	none
11_20320	1_0115	2.00E-81	none
12_30852	1_0116	2.00E-81	none
12_10077	1_0117	0	none
11_20795	1_0118	1.00E-180	none
11_21168	1_0119	0	none
11_21061	1_0120	4.00E-99	none
12_30705	1_0121	0	none
12_31236	1_0122	1.00E-145	none
11_20805	1_0123	1.00E-133	none
12_10507	1_0124	1.00E-137	none
11_11273	1_0125	9.00E-98	none
11_10477	1_0126	0	none
12_30056	1_0127	0	none
12_30456	1_0128	0	none
11_11341	1_0129	1.00E-127	none
12_30619	1_0130	0	none
11_11200	1_0131	0	none
12_11245	1_0132	2.00E-49	none
11_10094	1_0133	0	none
11_20629	1_0134	5.00E-91	none
11_20637	1_0135	0	none
12_11298	1_0136	1.00E-159	none
11_20127	1_0137	1.00E-10	none
12_30524	1_0138	0	none
12_31278	1_0139	1.00E-62	none
11_11507	1_0140	9.00E-88	none
11_21422	1_0141	1.00E-64	none
12_20045	1_0142	5.00E-31	none
11_11456	1_0143	6.00E-58	none
12_30377	1_0144	2.00E-43	none
11_11024	1_0145	9.00E-61	none
11_21325	1_0146	0	none
12_11535	1_0147	1.00E-115	none
12_10228	1_0148	0	none
11_20653	1_0149	0	none
11_21203	1_0150	0	none
12_30611	1_0151	1.00E-43	none
11_20003	1_0152	1.00E-47	none
12_30169	1_0153	2.00E-86	none
12_30590	1_0154	1.00E-101	none
11_10360	1_0155	0	none
11_20347	1_0156	4.00E-16	none
11_10805	1_0157	4.00E-98	none
11_20300	1_0158	0	none
11_11375	1_0159	3.00E-93	none
12_30067	1_0160	7.00E-61	none
11_10045	1_0161	0	none
11_10146	1_0162	1.00E-102	none
12_11472	1_0163	5.00E-85	none
11_20298	1_0164	3.00E-70	none
11_20259	1_0165	0	none
11_21247	1_0166	1.00E-18	none
11_11090	1_0167	1.00E-127	none
12_21471	1_0168	1.00E-127	none
11_21177	1_0169	1.00E-111	none
11_10705	1_0170	1.00E-150	none
11_20487	1_0171	2.00E-54	none
12_30883	1_0172	1.00E-111	none
11_10783	1_0173	2.00E-62	none
12_30869	1_0174	0	none
12_30668	1_0175	1.00E-153	none
11_11080	1_0176	1.00E-88	none
11_20188	1_0177	1.00E-111	none
12_30929	1_0178	1.00E-111	none
12_30930	1_0179	1.00E-111	none
11_21241	1_0180	0	none
12_31237	1_0181	1.00E-156	none
11_20884	1_0182	1.00E-144	none
11_10855	1_0183	2.00E-93	none
11_10095	1_0184	0	none
12_30635	1_0185	0	none
11_21289	1_0186	7.00E-59	none
11_10845	1_0187	6.00E-97	none
11_11532	1_0188	9.00E-56	none
11_10755	1_0189	1.00E-11	none
12_31366	1_0190	5.00E-12	none
11_11071	1_0191	1.00E-91	none
11_20551	1_0192	9.00E-37	none
12_30556	1_0193	0	none
11_20375	1_0194	1.00E-119	none
11_10819	1_0195	0	none
11_10658	1_0196	0	none
11_10292	1_0197	0	none
12_31217	1_0198	1.00E-135	none
11_11092	1_0199	0	none
12_30833	1_0200	1.00E-74	none
11_20731	1_0201	1.00E-107	none
12_31182	1_0202	5.00E-55	none
12_31234	1_0203	7.00E-52	none
12_20830	1_0204	1.00E-135	none
11_20568	1_0205	0	none
11_21077	1_0206	5.00E-96	none
11_10104	1_0207	4.00E-57	none
11_10557	1_0208	1.00E-161	none
12_30580	1_0209	1.00E-117	none
12_30400	1_0210	3.00E-86	none
11_21297	1_0211	2.00E-45	none
11_20791	1_0212	0	none
11_20388	1_0213	1.00E-179	none
12_31165	1_0214	0	none
12_21462	1_0215	1.00E-87	none
11_20100	1_0216	0	none
11_11441	1_0217	7.00E-55	none
12_31206	1_0218	5.00E-71	none
12_30062	1_0219	0	none
11_10363	1_0220	0	none
12_10904	1_0221	1.00E-113	none
12_30183	1_0222	8.00E-93	none
12_10333	1_0223	1.00E-179	none
11_21360	1_0224	4.00E-80	none
11_10080	1_0225	4.00E-68	none
12_31050	1_0226	2.00E-45	none
12_31221	2_0001	2.00E-95	none
12_30795	2_0002	2.00E-67	none
11_10589	2_0003	0	none
11_21355	2_0004	1.00E-136	none
12_10016	2_0005	1.00E-75	none
11_20104	2_0006	2.00E-73	none
11_20573	2_0007	0	none
11_10217	2_0008	0	none
12_30830	2_0009	0	none
11_11490	2_0010	1.00E-100	none
12_20186	2_0011	8.00E-62	none
11_11497	2_0012	1.00E-149	none
11_10901	2_0013	1.00E-52	none
11_21041	2_0014	1.00E-139	none
11_11185	2_0015	1.00E-168	none
11_10820	2_0016	1.00E-178	none
12_30759	2_0017	6.00E-91	none
12_30238	2_0018	1.00E-156	none
11_20545	2_0019	4.00E-88	none
12_20317	2_0020	8.00E-53	none
11_10536	2_0021	0	none
11_10902	2_0022	4.00E-90	none
11_10161	2_0023	1.00E-149	none
11_10528	2_0024	5.00E-78	none
11_10741	2_0025	0	none
12_30165	2_0026	0	none
11_20078	2_0027	6.00E-66	none
11_21024	2_0028	0	none
11_20324	2_0029	1.00E-131	none
11_21452	2_0030	8.00E-31	none
11_10385	2_0031	1.00E-94	none
11_10582	2_0032	5.00E-95	none
11_20560	2_0033	1.00E-100	none
11_20876	2_0034	0	none
12_30642	2_0035	0	none
11_10336	2_0036	1.00E-134	none
12_11325	2_0037	1.00E-155	none
11_20646	2_0038	1.00E-150	none
12_10273	2_0039	1.00E-130	none
11_21018	2_0040	1.00E-146	none
12_31375	2_0041	1.00E-154	none
11_11464	2_0042	1.00E-109	none
12_30162	2_0043	0	none
11_20988	2_0044	0	none
11_20934	2_0045	1.00E-159	none
11_20334	2_0046	1.00E-112	none
11_20829	2_0047	0	none
11_20826	2_0048	5.00E-97	none
12_30666	2_0049	0	none
11_11216	2_0050	1.00E-148	none
12_30566	2_0051	1.00E-130	none
11_20686	2_0052	8.00E-32	none
11_20546	2_0053	0	none
12_10769	2_0054	0	none
12_30087	2_0055	1.00E-117	none
11_10869	2_0056	3.00E-98	none
11_10778	2_0057	1.00E-124	none
12_20867	2_0058	4.00E-52	none
12_21290	2_0059	1.00E-163	none
11_10600	2_0060	0	none
11_21012	2_0061	1.00E-125	none
11_21141	2_0062	1.00E-168	none
12_21009	2_0063	0	none
11_20536	2_0064	2.00E-98	none
12_31404	2_0065	2.00E-20	none
12_20816	2_0066	1.00E-168	none
12_11450	2_0067	9.00E-62	none
12_11010	2_0068	0	none
11_10254	2_0069	0	none
11_21138	2_0070	1.00E-103	none
12_30656	2_0071	2.00E-93	none
12_30494	2_0072	1.00E-157	none
11_10736	2_0073	1.00E-60	none
11_10236	2_0074	1.00E-138	none
11_20022	2_0075	5.00E-57	none
12_30504	2_0076	1.00E-40	none
12_30769	2_0077	2.00E-60	none
12_31352	2_0078	1.00E-154	none
12_30577	2_0079	1.00E-142	none
11_20897	2_0080	1.00E-119	none
12_21393	2_0081	6.00E-82	none
11_21155	2_0082	1.00E-100	none
11_10310	2_0083	1.00E-78	none
11_21052	2_0084	7.00E-61	none
11_20786	2_0085	0	none
11_21162	2_0086	3.00E-72	none
12_31292	2_0087	2.00E-91	none
11_11364	2_0088	1.00E-136	none
11_21108	2_0089	1.00E-136	none
12_11192	2_0090	0	none
11_10401	2_0091	0	none
12_31210	2_0092	4.00E-92	none
12_11413	2_0093	6.00E-39	none
12_10732	2_0094	0	none
12_31481	2_0095	3.00E-49	none
12_30360	2_0096	7.00E-65	none
12_30382	2_0097	7.00E-40	none
12_10857	2_0098	3.00E-82	none
11_20402	2_0099	7.00E-87	none
12_21356	2_0100	1.00E-106	none
12_30958	2_0101	1.00E-157	none
12_10322	2_0102	8.00E-74	none
12_31123	2_0103	0.00005	none
11_20232	2_0104	0	none
12_30319	2_0105	8.00E-82	none
11_20493	2_0106	1.00E-180	none
11_20886	2_0107	0	none
11_20881	2_0108	0	none
11_10120	2_0109	1.00E-169	none
12_31233	2_0110	0.00007	none
11_21521	2_0111	1.00E-43	none
11_20882	2_0112	2.00E-89	none
12_30651	2_0113	0	none
11_20294	2_0114	5.00E-95	none
11_21204	2_0115	7.00E-18	none
11_20262	2_0116	0	none
11_21032	2_0117	0	none
11_11479	2_0118	5.00E-48	none
11_20415	2_0119	0	none
12_30010	2_0120	9.00E-59	none
12_10554	2_0121	0	none
12_30842	2_0122	0	none
11_10165	2_0123	1.00E-19	none
11_10064	2_0124	0	none
11_10023	2_0125	0	none
12_30843	2_0126	0	none
11_21246	2_0127	5.00E-95	none
11_20315	2_0128	1.00E-138	none
11_10136	2_0129	1.00E-102	none
11_10868	2_0130	0	none
11_10676	2_0131	1.00E-122	none
11_20745	2_0132	2.00E-53	none
12_30697	2_0133	1.00E-136	none
12_30673	2_0134	0	none
12_31485	2_0135	1.00E-130	none
12_31308	2_0136	1.00E-104	none
11_10799	2_0137	1.00E-81	none
11_10994	2_0138	5.00E-85	none
11_10939	2_0139	4.00E-55	none
11_10427	2_0140	0	none
12_30358	2_0141	1.00E-144	none
12_30521	2_0142	0	none
12_30361	2_0143	2.00E-43	none
11_10129	2_0144	2.00E-99	none
12_30783	2_0145	3.00E-59	none
11_20052	2_0146	1.00E-104	none
12_11455	2_0147	1.00E-157	none
11_21030	2_0148	0	none
11_10494	2_0149	7.00E-23	none
12_30665	2_0150	1.00E-165	none
11_10061	2_0151	5.00E-46	none
11_20936	2_0152	1.00E-114	none
11_10244	2_0153	1.00E-111	none
12_30516	2_0154	0	none
11_21281	2_0155	0	none
11_10462	2_0156	1.00E-135	none
11_10355	2_0157	1.00E-124	none
11_20743	2_0158	0	none
11_10817	2_0159	1.00E-104	none
12_30317	2_0160	1.00E-119	none
12_10910	2_0161	4.00E-46	none
12_10575	2_0162	1.00E-172	none
12_10811	2_0163	1.00E-114	none
11_10013	2_0164	0	none
12_10199	2_0165	0	none
11_20707	2_0166	3.00E-45	none
11_11097	2_0167	9.00E-74	none
11_10539	2_0168	1.00E-127	none
12_30658	2_0169	0	none
12_30316	2_0170	0	none
12_30133	2_0171	0	none
11_10461	2_0172	7.00E-77	none
12_31092	2_0173	1.00E-179	none
12_31274	2_0174	2.00E-65	none
12_30751	2_0175	7.00E-74	none
11_20291	2_0176	1.00E-142	none
12_30510	2_0177	0	none
11_11205	2_0178	1.00E-105	none
12_30782	2_0179	5.00E-21	none
11_20675	2_0180	1.00E-164	none
12_11171	2_0181	4.00E-88	none
12_21449	2_0182	1.00E-146	none
12_30569	2_0183	1.00E-162	none
12_11104	2_0184	1.00E-74	none
12_20381	2_0185	0	none
12_10497	2_0186	0	none
12_30430	2_0187	5.00E-33	none
12_30473	2_0188	1.00E-128	none
12_30032	2_0189	9.00E-53	none
12_30120	2_0190	3.00E-34	none
12_11353	2_0191	1.00E-28	none
11_10003	2_0192	0	none
11_20720	2_0193	1.00E-154	none
11_21473	2_0194	0	none
11_21158	2_0195	3.00E-18	none
11_10962	2_0196	0	none
12_30441	2_0197	1.00E-32	none
12_31004	2_0198	1.00E-117	none
11_20651	2_0199	2.00E-54	none
12_30021	2_0200	0	none
12_30802	2_0201	7.00E-84	none
11_20656	2_0202	0	none
11_21014	2_0203	1.00E-141	none
11_20600	2_0204	1.00E-137	none
12_30567	2_0205	0	none
11_10659	2_0206	2.00E-47	none
12_31509	2_0207	2.00E-39	none
12_10591	2_0208	0	none
11_11312	2_0209	0	none
12_30230	2_0210	1.00E-110	none
11_10954	2_0211	1.00E-106	none
12_30508	2_0212	1.00E-100	none
12_11487	2_0213	1.00E-131	none
11_21124	2_0214	1.00E-34	none
11_10749	2_0215	0	none
11_20854	2_0216	1.00E-111	none
11_20785	2_0217	1.00E-168	none
12_30765	2_0218	1.00E-100	none
12_31443	2_0219	1.00E-24	none
11_20572	2_0220	9.00E-90	none
11_20799	2_0221	0	none
11_20329	2_0222	0	none
12_11442	2_0223	1.00E-135	none
12_31249	2_0224	0	none
11_20946	2_0225	1.00E-167	none
11_10323	2_0226	0	none
12_31187	2_0227	1.00E-100	none
12_30305	2_0228	0	none
12_11140	2_0229	1.00E-102	none
11_11153	2_0230	1.00E-118	none
12_21482	2_0231	1.00E-118	none
11_20567	2_0232	6.00E-64	none
11_10848	2_0233	4.00E-46	none
12_30837	2_0234	4.00E-46	none
11_21216	2_0235	0	none
12_30465	2_0236	0	none
12_30596	2_0237	1.00E-46	none
12_30311	2_0238	1.00E-127	none
12_10278	2_0239	1.00E-118	none
12_30511	2_0240	0	none
12_30856	2_0241	1.00E-17	none
11_10227	2_0242	0	none
12_30681	2_0243	6.00E-54	none
11_20835	2_0244	1.00E-135	none
12_21114	2_0245	1.00E-117	none
12_10345	2_0246	1.00E-93	none
12_31174	2_0247	1.00E-109	none
11_10513	2_0248	7.00E-30	none
12_31178	2_0249	0	none
12_30395	2_0250	0	none
12_20463	2_0251	1.00E-106	none
12_11181	2_0252	0	none
11_10377	2_0253	5.00E-68	none
12_30749	2_0254	5.00E-26	none
12_30857	2_0255	2.00E-77	none
12_30144	2_0256	1.00E-150	none
11_20184	2_0257	0	none
11_11067	2_0258	1.00E-160	none
12_11253	2_0259	2.00E-81	none
12_10803	2_0260	1.00E-119	none
11_21339	2_0261	1.00E-127	none
11_10964	2_0262	1.00E-146	none
11_20266	2_0263	0	none
11_10270	2_0264	0	none
12_10758	2_0265	1.00E-115	none
11_10189	2_0266	3.00E-93	none
11_21310	2_0267	0	none
11_20058	2_0268	1.00E-39	none
12_11321	2_0269	2.00E-92	none
11_10635	2_0270	5.00E-35	none
12_30804	2_0271	2.00E-65	none
12_30346	2_0272	1.00E-60	none
12_31359	2_0273	3.00E-10	none
12_30844	2_0274	2.00E-92	none
11_11483	2_0275	1.00E-126	none
11_21298	2_0276	1.00E-97	none
12_11475	2_0277	1.00E-123	none
11_21069	2_0278	1.00E-116	none
11_20904	2_0279	1.00E-126	none
12_30637	2_0280	1.00E-104	none
11_21293	2_0281	1.00E-125	none
11_21225	2_0282	2.00E-88	none
11_10781	2_0283	0	none
11_10455	2_0284	0	none
11_20287	2_0285	4.00E-94	none
12_10392	2_0286	0	none
12_20148	2_0287	1.00E-116	none
11_11261	2_0288	1.00E-174	none
11_10040	2_0289	0	none
11_20709	2_0290	0	none
11_20015	2_0291	0	none
11_10124	2_0292	5.00E-59	none
12_10504	2_0293	0	none
11_20714	2_0294	1.00E-160	none
11_21469	2_0295	0	none
11_20636	2_0296	1.00E-148	none
11_20468	2_0297	0	none
12_31289	2_0298	1.00E-26	none
11_20673	2_0299	0	none
11_20620	2_0300	6.00E-61	none
12_10596	2_0301	1.00E-163	none
11_20892	2_0302	1.00E-103	none
11_11349	2_0303	1.00E-133	none
11_20577	2_0304	0	none
12_31250	2_0305	1.00E-89	none
11_20784	2_0306	1.00E-172	none
11_21256	2_0307	0	none
12_31101	3_0001	6.00E-70	none
11_11459	3_0002	0	none
11_20744	3_0003	6.00E-53	none
11_20053	3_0004	0	none
11_20488	3_0005	7.00E-97	none
12_30236	3_0006	2.00E-28	none
12_31111	3_0007	4.00E-98	none
12_30940	3_0008	0	none
11_10469	3_0009	2.00E-71	none
12_31088	3_0010	0	none
11_20889	3_0011	1.00E-135	none
11_20969	3_0012	1.00E-156	none
11_20682	3_0013	0	none
11_20746	3_0014	1.00E-101	none
12_30573	3_0015	0	none
12_30148	3_0016	1.00E-140	none
12_31253	3_0017	1.00E-115	none
11_21224	3_0018	0	none
11_10608	3_0019	0	none
11_11458	3_0020	3.00E-65	none
11_10220	3_0021	3.00E-82	none
11_10331	3_0022	0	none
11_10185	3_0023	2.00E-51	none
11_11246	3_0024	1.00E-121	none
11_20346	3_0025	1.00E-114	none
11_21404	3_0026	1.00E-101	none
11_11147	3_0027	1.00E-78	none
11_20654	3_0028	0	none
11_10815	3_0029	0	none
12_30698	3_0030	1.00E-41	none
11_20783	3_0031	1.00E-99	none
11_10400	3_0032	1.00E-150	none
11_21025	3_0033	1.00E-134	none
11_10202	3_0034	0	none
12_30626	3_0035	4.00E-51	none
12_31235	3_0036	7.00E-78	none
11_20996	3_0037	0	none
12_30931	3_0038	0	none
11_20728	3_0039	0	none
11_11294	3_0040	6.00E-43	none
11_10978	3_0041	7.00E-89	none
11_20972	3_0042	2.00E-86	none
11_10595	3_0043	1.00E-113	none
12_31432	3_0044	2.00E-55	none
11_10734	3_0045	0	none
12_31353	3_0046	1.00E-174	none
11_20118	3_0047	1.00E-155	none
11_10139	3_0048	6.00E-53	none
12_11494	3_0049	1.00E-131	none
11_20531	3_0050	2.00E-81	none
11_10015	3_0051	0	none
12_30151	3_0052	1.00E-102	none
12_31042	3_0053	2.00E-22	none
12_31043	3_0054	2.00E-22	none
12_31044	3_0055	8.00E-55	none
12_31048	3_0056	8.00E-55	none
12_31049	3_0057	8.00E-55	none
12_31115	3_0058	0	none
11_20379	3_0059	0	none
11_20725	3_0060	0	none
11_21271	3_0061	7.00E-49	none
11_20467	3_0062	0	none
11_20036	3_0063	7.00E-72	none
11_20355	3_0064	1.00E-68	none
12_30734	3_0065	6.00E-81	none
12_20448	3_0066	3.00E-84	none
11_11534	3_0067	2.00E-56	none
12_31495	3_0068	2.00E-21	none
11_20733	3_0069	1.00E-168	none
11_20558	3_0070	1.00E-125	none
11_10239	3_0071	0	none
12_31198	3_0072	0	none
12_21477	3_0073	1.00E-154	none
12_30025	3_0074	0	none
11_10645	3_0075	4.00E-22	none
12_31277	3_0076	2.00E-17	none
12_31392	3_0077	1.00E-168	none
11_10175	3_0078	2.00E-48	none
12_30355	3_0079	7.00E-28	none
12_10051	3_0080	0	none
12_10071	3_0081	3.00E-76	none
11_10107	3_0082	1.00E-112	none
11_21467	3_0083	0	none
11_21455	3_0084	1.00E-103	none
12_30057	3_0085	0	none
11_11187	3_0086	0	none
12_31126	3_0087	0	none
11_20005	3_0088	2.00E-71	none
11_20029	3_0089	1.00E-88	none
11_10748	3_0090	1.00E-178	none
11_20211	3_0091	7.00E-80	none
11_11488	3_0092	0	none
11_10828	3_0093	1.00E-139	none
12_31283	3_0094	2.00E-61	none
11_20687	3_0095	1.00E-178	none
11_20868	3_0096	1.00E-146	none
12_20907	3_0097	5.00E-30	none
12_30414	3_0098	6.00E-88	none
11_20817	3_0099	1.00E-59	none
12_31469	3_0100	6.00E-26	none
12_31498	3_0101	1.00E-123	none
11_21112	3_0102	0	none
11_10390	3_0103	0	none
11_11111	3_0104	0	none
12_30627	3_0105	0	none
11_20537	3_0106	0	none
12_30956	3_0107	1.00E-143	none
11_21516	3_0108	0	none
12_30959	3_0109	0	none
12_10036	3_0110	4.00E-67	none
11_20303	3_0111	0	none
12_30296	3_0112	3.00E-80	none
12_20016	3_0113	0.000001	none
11_10971	3_0114	1.00E-142	none
12_31072	3_0115	1.00E-89	none
12_31076	3_0116	1.00E-89	none
11_10682	3_0117	1.00E-156	none
11_21443	3_0118	0	none
11_11132	3_0119	0	none
12_30472	3_0120	1.00E-177	none
11_10894	3_0121	1.00E-154	none
11_10121	3_0122	1.00E-175	none
12_20201	3_0123	1.00E-175	none
11_21307	3_0124	1.00E-174	none
12_31350	3_0125	1.00E-117	none
12_10375	3_0126	4.00E-10	none
11_11179	3_0127	1.00E-123	none
11_20242	3_0128	0	none
12_30836	3_0129	1.00E-123	none
12_31173	3_0130	0	none
11_11031	3_0131	6.00E-24	none
11_11495	3_0132	1.00E-106	none
12_11433	3_0133	0	none
12_10406	3_0134	0	none
11_20534	3_0135	1.00E-115	none
12_11035	3_0136	0	none
11_20307	3_0137	4.00E-31	none
11_20245	3_0138	1.00E-23	none
12_31450	3_0139	0.000000001	none
12_20227	3_0140	1.00E-72	none
11_10841	3_0141	1.00E-105	none
11_10851	3_0142	1.00E-125	none
11_20755	3_0143	0.00000005	none
11_20014	3_0144	4.00E-52	none
11_21437	3_0145	1.00E-66	none
12_30902	3_0146	0	none
12_11052	3_0147	1.00E-136	none
12_30723	3_0148	1.00E-111	none
11_20722	3_0149	0	none
11_21050	3_0150	0	none
11_10025	3_0151	0	none
11_20495	3_0152	1.00E-154	none
12_30530	3_0153	0	none
11_20443	3_0154	1.00E-126	none
12_30780	3_0155	1.00E-140	none
12_31351	3_0156	7.00E-70	none
11_10965	3_0157	8.00E-44	none
12_30040	3_0158	1.00E-135	none
11_20162	3_0159	7.00E-43	none
11_10920	3_0160	7.00E-79	none
12_30063	3_0161	1.00E-167	none
11_20507	3_0162	1.00E-90	none
11_10451	3_0163	0	none
12_30702	3_0164	0	none
11_20758	3_0165	2.00E-70	none
11_10232	3_0166	1.00E-133	none
11_20993	3_0167	2.00E-40	none
12_30141	3_0168	1.00E-165	none
11_20192	3_0169	1.00E-66	none
12_30083	3_0170	0	none
12_30219	3_0171	0	none
12_30242	3_0172	1.00E-114	none
12_30893	3_0173	2.00E-71	none
12_30894	3_0174	2.00E-71	none
12_30895	3_0175	2.00E-71	none
11_11068	3_0176	0	none
11_20126	3_0177	7.00E-60	none
11_10838	3_0178	1.00E-104	none
12_10218	3_0179	0	none
11_10056	3_0180	0	none
12_31305	3_0181	3.00E-17	none
11_10576	3_0182	1.00E-132	none
11_10327	3_0183	0	none
12_30065	3_0184	1.00E-60	none
12_10979	3_0185	1.00E-134	none
12_10368	3_0186	0	none
12_30143	3_0187	1.00E-162	none
11_21528	3_0188	0	none
12_11339	3_0189	1.00E-105	none
11_21491	3_0190	1.00E-107	none
12_30528	3_0191	1.00E-180	none
11_20357	3_0192	0	none
11_21326	3_0193	1.00E-112	none
11_20249	3_0194	2.00E-24	none
12_30545	3_0195	2.00E-59	none
12_30752	3_0196	2.00E-36	none
11_10772	3_0197	0	none
12_30371	3_0198	1.00E-91	none
11_20074	3_0199	9.00E-54	none
12_20031	3_0200	2.00E-43	none
11_20466	3_0201	1.00E-172	none
12_10696	3_0202	0	none
11_20790	3_0203	0	none
11_20113	3_0204	6.00E-85	none
11_10726	3_0205	5.00E-89	none
12_30290	3_0206	1.00E-160	none
12_30181	3_0207	1.00E-160	none
12_10959	3_0208	2.00E-39	none
12_30576	3_0209	0	none
11_11014	3_0210	0	none
12_30879	3_0211	0	none
12_30880	3_0212	0	none
12_10403	3_0213	0	none
11_10346	3_0214	5.00E-75	none
11_10721	3_0215	6.00E-29	none
11_10050	3_0216	1.00E-129	none
11_20975	3_0217	1.00E-126	none
12_30149	3_0218	1.00E-40	none
12_10605	3_0219	1.00E-88	none
11_20750	3_0220	0	none
12_10657	3_0221	0	none
11_21270	3_0222	5.00E-68	none
12_10267	3_0223	1.00E-158	none
11_20671	3_0224	1.00E-146	none
11_11098	3_0225	1.00E-131	none
12_11525	3_0226	3.00E-69	none
12_30639	4_0001	1.00E-38	none
12_31463	4_0002	2.00E-66	none
11_11348	4_0003	1.00E-32	none
12_31441	4_0004	2.00E-94	none
12_11242	4_0005	1.00E-110	none
11_11028	4_0006	0	none
11_20060	4_0007	3.00E-38	none
11_10431	4_0008	0	none
11_20195	4_0009	3.00E-76	none
12_30125	4_0010	1.00E-175	none
12_30832	4_0011	0	none
11_10153	4_0012	0	none
12_11257	4_0013	1.00E-174	none
12_30496	4_0014	0	none
11_10299	4_0015	0	none
12_31452	4_0016	1.00E-107	none
12_11202	4_0017	1.00E-50	none
11_11122	4_0018	0	none
11_20827	4_0019	0	none
12_21492	4_0020	1.00E-79	none
12_11045	4_0021	0	none
12_11103	4_0022	1.00E-82	none
12_30997	4_0023	2.00E-53	none
12_31120	4_0024	2.00E-22	none
11_10983	4_0025	1.00E-143	none
12_21167	4_0026	1.00E-121	none
11_20885	4_0027	0	none
12_30344	4_0028	4.00E-60	none
12_30595	4_0029	1.00E-128	none
12_10655	4_0030	1.00E-60	none
12_30581	4_0031	0	none
11_10083	4_0032	1.00E-142	none
11_20911	4_0033	3.00E-40	none
11_10256	4_0034	6.00E-55	none
11_20879	4_0035	3.00E-66	none
12_10698	4_0036	0	none
12_10268	4_0037	0	none
12_30760	4_0038	0	none
11_10924	4_0039	1.00E-161	none
12_30794	4_0040	1.00E-112	none
12_30053	4_0041	1.00E-119	none
12_30486	4_0042	0	none
11_10394	4_0043	0	none
12_30544	4_0044	0	none
11_20893	4_0045	1.00E-125	none
12_10222	4_0046	1.00E-55	none
12_30411	4_0047	1.00E-106	none
12_30492	4_0048	1.00E-125	none
12_31227	4_0049	6.00E-25	none
11_20828	4_0050	0	none
11_20314	4_0051	1.00E-101	none
12_10459	4_0052	6.00E-51	none
12_31000	4_0053	1.00E-26	none
12_11477	4_0054	1.00E-166	none
11_10115	4_0055	0.00006	none
12_30481	4_0056	1.00E-176	none
11_10073	4_0057	1.00E-161	none
11_21494	4_0058	7.00E-46	none
11_10055	4_0059	1.00E-122	none
12_30589	4_0060	0	none
12_10581	4_0061	1.00E-178	none
11_11219	4_0062	0	none
11_21178	4_0063	0	none
12_30574	4_0064	8.00E-79	none
12_30475	4_0065	1.00E-153	none
12_11146	4_0066	0	none
12_21319	4_0067	5.00E-87	none
11_21335	4_0068	1.00E-90	none
12_30449	4_0069	0	none
11_11352	4_0070	1.00E-167	none
11_10773	4_0071	1.00E-103	none
12_31140	4_0072	1.00E-110	none
11_11145	4_0073	2.00E-42	none
12_31345	4_0074	0	none
