Chrom	BOPA_C	cM_NAI	aliases	annotation
5H	11_20003	129.41	none	none
5H	12_30169	129.41	none	none
5H	12_30590	129.41	none	none
5H	11_10360	129.41	none	none
5H	11_20347	129.41	none	none
5H	11_10805	130.13	none	none
5H	11_20300	130.13	none	none
5H	11_11375	130.84	none	none
5H	12_30067	131.56	none	none
5H	11_10045	131.56	none	none
5H	11_10146	132.27	none	none
5H	12_11472	132.48	none	none
5H	11_20298	132.63	none	none
5H	11_20259	132.63	none	none
5H	11_21247	132.63	none	none
5H	11_11090	132.63	none	none
5H	12_21471	132.63	none	none
5H	11_21177	132.63	none	none
5H	11_10705	132.63	none	none
5H	11_20487	134.6	none	none
5H	12_30883	135.72	none	none
5H	11_10783	135.72	none	none
5H	12_30869	136.43	none	none
5H	12_30668	136.43	none	none
5H	11_11080	137.16	none	none
5H	11_20188	137.16	none	none
5H	12_30929	137.16	none	none
5H	12_30930	137.16	none	none
5H	11_21241	137.16	none	none
5H	12_31237	137.16	none	none
5H	11_20884	137.16	none	none
5H	11_10855	137.16	none	none
5H	11_10095	137.16	none	none
5H	12_30635	140.76	none	none
5H	11_21289	142.2	none	none
5H	11_10845	142.2	none	none
5H	11_11532	142.2	none	none
5H	11_10755	142.2	none	none
5H	12_31366	142.2	none	none
5H	11_11071	142.2	none	none
5H	11_20551	143.27	none	none
5H	12_30556	143.92	none	none
5H	11_20375	143.92	none	none
5H	11_10819	143.92	none	none
5H	11_10658	143.92	none	none
5H	11_10292	144.63	none	none
5H	12_31217	144.63	none	none
5H	11_11092	145.35	none	none
5H	12_30833	145.35	none	none
5H	11_20731	146	none	none
5H	12_31182	146	none	none
5H	12_31234	146	none	none
5H	12_20830	146	none	none
5H	11_20568	146	none	none
5H	11_21077	146	none	none
5H	11_10104	146	none	none
5H	11_10557	147.4	none	none
5H	12_30580	149.1	none	none
5H	12_30400	149.1	none	none
5H	11_21297	149.64	none	none
5H	11_20791	149.64	none	none
5H	11_20388	150.34	none	none
5H	12_31165	151.36	none	none
5H	12_21462	151.36	none	none
5H	11_20100	151.36	none	none
5H	11_11441	151.36	none	none
5H	12_31206	151.36	none	none
5H	12_30062	151.36	none	none
5H	11_10363	151.36	none	none
5H	12_10904	151.36	none	none
5H	12_30183	151.36	none	none
5H	12_10333	151.36	none	none
5H	11_21360	151.36	none	none
5H	11_10080	151.36	none	none
5H	12_31050	151.36	none	none
5H	12_31221	152.79	none	none
5H	12_30795	152.79	none	none
5H	11_10589	153.51	none	none
5H	11_21355	153.51	none	none
5H	12_10016	153.51	none	none
5H	11_20104	153.51	none	none
5H	11_20573	153.51	none	none
5H	11_10217	153.51	none	none
5H	12_30830	153.51	none	none
5H	11_11490	153.6	none	none
5H	12_20186	154.41	none	none
5H	11_11497	155.13	none	none
5H	11_10901	158.37	none	none
5H	11_21041	159.09	none	none
5H	11_11185	159.09	none	none
5H	11_10820	159.09	none	none
5H	12_30759	159.79	none	none
5H	12_30238	159.79	none	none
5H	11_20545	159.79	none	none
5H	12_20317	159.79	none	none
5H	11_10536	159.79	none	none
5H	11_10902	159.79	none	none
5H	11_10161	159.79	none	none
5H	11_10528	159.79	none	none
5H	11_10741	159.79	none	none
5H	12_30165	159.79	none	none
5H	11_20078	159.79	none	none
5H	11_21024	159.79	none	none
5H	11_20324	159.79	none	none
5H	11_21452	159.79	none	none
5H	11_10385	159.79	none	none
5H	11_10582	159.79	none	none
5H	11_20560	160.51	none	none
5H	11_20876	160.51	none	none
5H	12_30642	161.58	none	none
5H	11_10336	161.58	none	none
5H	12_11325	161.58	none	none
5H	11_20646	161.58	none	none
5H	12_10273	161.58	none	none
5H	11_21018	161.58	none	none
5H	12_31375	161.58	none	none
5H	11_11464	161.58	none	none
5H	12_30162	161.58	none	none
5H	11_20988	161.58	none	none
5H	11_20934	166.63	none	none
5H	11_20334	166.63	none	none
5H	11_20829	168.79	none	none
5H	11_20826	169.51	none	none
5H	12_30666	169.51	none	none
5H	11_11216	171.66	none	none
5H	12_30566	171.66	none	none
5H	11_20686	172.38	none	none
5H	11_20546	172.38	none	none
5H	12_10769	172.38	none	none
5H	12_30087	172.38	none	none
5H	11_10869	173.08	none	none
5H	11_10778	175.9	none	none
5H	12_20867	176.62	none	none
5H	12_21290	176.62	none	none
5H	11_10600	176.62	none	none
5H	11_21012	176.62	none	none
5H	11_21141	177.07	none	none
5H	12_21009	177.65	none	none
5H	11_20536	177.65	none	none
5H	12_31404	177.65	none	none
5H	12_20816	178.43	none	none
5H	12_11450	178.43	none	none
5H	12_11010	178.43	none	none
5H	11_10254	179.06	none	none
5H	11_21138	179.64	none	none
5H	12_30656	179.64	none	none
5H	12_30494	180.71	none	none
5H	11_10736	180.71	none	none
5H	11_10236	181.43	none	none
5H	11_20022	181.43	none	none
5H	12_30504	182.16	none	none
5H	12_30769	182.88	none	none
5H	12_31352	182.88	none	none
5H	12_30577	182.88	none	none
5H	11_20897	182.88	none	none
5H	12_21393	186.48	none	none
5H	11_21155	187.38	none	none
5H	11_10310	187.96	none	none
5H	11_21052	189.6	none	none
5H	11_20786	189.6	none	none
5H	11_21162	189.6	none	none
5H	12_31292	189.6	none	none
5H	11_11364	189.6	none	none
5H	11_21108	190.23	none	none
5H	12_11192	191.39	none	none
5H	11_10401	191.97	none	none
5H	12_31210	191.97	none	none
5H	12_11413	191.97	none	none
5H	12_10732	191.97	none	none
5H	12_31481	191.97	none	none
5H	12_30360	191.97	none	none
5H	12_30382	194.64	none	none
5H	12_10857	194.84	none	none
5H	11_20402	195.42	none	none
5H	12_21356	196.12	none	none
5H	12_30958	196.12	none	none
5H	12_10322	196.12	none	none
5H	12_31123	196.85	none	none
6H	11_20232	0	none	none
6H	12_30319	0	none	none
6H	11_20493	1.34	none	none
6H	11_20886	1.34	none	none
6H	11_20881	1.34	none	none
6H	11_10120	3.11	none	none
6H	12_31233	3.11	none	none
6H	11_21521	3.11	none	none
6H	11_20882	3.23	none	none
6H	12_30651	4.41	none	none
6H	11_20294	5.4	none	none
6H	11_21204	6.07	none	none
6H	11_20262	8.07	none	none
6H	11_21032	9.06	none	none
6H	11_11479	12.54	none	none
6H	11_20415	13.21	none	none
6H	12_30010	15.63	none	none
6H	12_10554	16.97	none	none
6H	12_30842	16.97	none	none
6H	11_10165	16.97	none	none
6H	11_10064	21.69	none	none
6H	11_10023	22.35	none	none
6H	12_30843	22.35	none	none
6H	11_21246	22.35	none	none
6H	11_20315	24.36	none	none
6H	11_10136	24.36	none	none
6H	11_10868	24.36	none	none
6H	11_10676	28.39	none	none
6H	11_20745	28.39	none	none
6H	12_30697	29.05	none	none
6H	12_30673	30.06	none	none
6H	12_31485	30.06	none	none
6H	12_31308	30.72	none	none
6H	11_10799	31.73	none	none
6H	11_10994	31.73	none	none
6H	11_10939	33.74	none	none
6H	11_10427	34.4	none	none
6H	12_30358	35.07	none	none
6H	12_30521	38.42	none	none
6H	12_30361	40.79	none	none
6H	11_10129	42.36	none	none
6H	12_30783	42.36	none	none
6H	11_20052	42.36	none	none
6H	12_11455	42.36	none	none
6H	11_21030	42.36	none	none
6H	11_10494	42.36	none	none
6H	12_30665	42.36	none	none
6H	11_10061	42.36	none	none
6H	11_20936	43.15	none	none
6H	11_10244	43.15	none	none
6H	12_30516	43.15	none	none
6H	11_21281	43.83	none	none
6H	11_10462	44.77	none	none
6H	11_10355	44.77	none	none
6H	11_20743	44.77	none	none
6H	11_10817	45.44	none	none
6H	12_30317	45.44	none	none
6H	12_10910	45.44	none	none
6H	12_10575	45.44	none	none
6H	12_10811	45.44	none	none
6H	11_10013	45.44	none	none
6H	12_10199	45.44	none	none
6H	11_20707	45.44	none	none
6H	11_11097	45.44	none	none
6H	11_10539	46.11	none	none
6H	12_30658	48.74	none	none
6H	12_30316	48.74	none	none
6H	12_30133	48.74	none	none
6H	11_10461	48.74	none	none
6H	12_31092	49.4	none	none
6H	12_31274	49.4	none	none
6H	12_30751	49.4	none	none
6H	11_20291	49.4	none	none
6H	12_30510	49.4	none	none
6H	11_11205	50.07	none	none
6H	12_30782	50.07	none	none
6H	11_20675	50.07	none	none
6H	12_11171	50.07	none	none
6H	12_21449	50.74	none	none
6H	12_30569	51.41	none	none
6H	12_11104	52.75	none	none
6H	12_20381	52.75	none	none
6H	12_10497	52.75	none	none
6H	12_30430	52.75	none	none
6H	12_30473	52.75	none	none
6H	12_30032	52.75	none	none
6H	12_30120	52.75	none	none
6H	12_11353	52.75	none	none
6H	11_10003	52.75	none	none
6H	11_20720	52.75	none	none
6H	11_21473	53.29	none	none
6H	11_21158	53.95	none	none
6H	11_10962	54.6	none	none
6H	12_30441	54.6	none	none
6H	12_31004	54.6	none	none
6H	11_20651	54.6	none	none
6H	12_30021	54.6	none	none
6H	12_30802	54.6	none	none
6H	11_20656	54.6	none	none
6H	11_21014	54.6	none	none
6H	11_20600	55	none	none
6H	12_30567	55	none	none
6H	11_10659	55	none	none
6H	12_31509	55	none	none
6H	12_10591	55	none	none
6H	11_11312	55	none	none
6H	12_30230	55	none	none
6H	11_10954	55	none	none
6H	12_30508	55.36	none	none
6H	12_11487	55.65	none	none
6H	11_21124	55.65	none	none
6H	11_10749	55.65	none	none
6H	11_20854	55.65	none	none
6H	11_20785	55.65	none	none
6H	12_30765	55.65	none	none
6H	12_31443	55.65	none	none
6H	11_20572	55.65	none	none
6H	11_20799	55.65	none	none
6H	11_20329	55.65	none	none
6H	12_11442	55.65	none	none
6H	12_31249	55.65	none	none
6H	11_20946	55.65	none	none
6H	11_10323	55.65	none	none
6H	12_31187	55.65	none	none
6H	12_30305	55.65	none	none
6H	12_11140	55.65	none	none
6H	11_11153	55.65	none	none
6H	12_21482	55.65	none	none
6H	11_20567	55.65	none	none
6H	11_10848	55.65	none	none
6H	12_30837	55.65	none	none
6H	11_21216	55.65	none	none
6H	12_30465	55.94	none	none
6H	12_30596	55.94	none	none
6H	12_30311	55.94	none	none
6H	12_10278	55.94	none	none
6H	12_30511	55.94	none	none
6H	12_30856	55.94	none	none
6H	11_10227	55.94	none	none
6H	12_30681	55.94	none	none
6H	11_20835	55.94	none	none
6H	12_21114	55.94	none	none
6H	12_10345	55.94	none	none
6H	12_31174	55.94	none	none
6H	11_10513	55.94	none	none
6H	12_31178	55.94	none	none
6H	12_30395	55.94	none	none
6H	12_20463	55.94	none	none
6H	12_11181	55.94	none	none
6H	11_10377	55.94	none	none
6H	12_30749	55.94	none	none
6H	12_30857	56.48	none	none
6H	12_30144	56.48	none	none
6H	11_20184	56.48	none	none
6H	11_11067	58.01	none	none
6H	12_11253	58.01	none	none
6H	12_10803	58.55	none	none
6H	11_21339	58.55	none	none
6H	11_10964	59.56	none	none
6H	11_20266	59.56	none	none
6H	11_10270	60.23	none	none
6H	12_10758	60.23	none	none
6H	11_10189	60.23	none	none
6H	11_21310	60.23	none	none
6H	11_20058	60.23	none	none
6H	12_11321	60.23	none	none
6H	11_10635	60.23	none	none
6H	12_30804	60.23	none	none
6H	12_30346	60.23	none	none
6H	12_31359	60.9	none	none
6H	12_30844	60.9	none	none
6H	11_11483	63.27	none	none
6H	11_21298	63.27	none	none
6H	12_11475	63.27	none	none
6H	11_21069	63.95	none	none
6H	11_20904	64.36	none	none
6H	12_30637	64.36	none	none
6H	11_21293	64.36	none	none
6H	11_21225	64.36	none	none
6H	11_10781	64.36	none	none
6H	11_10455	64.36	none	none
6H	11_20287	64.36	none	none
6H	12_10392	65.03	none	none
6H	12_20148	65.03	none	none
6H	11_11261	65.03	none	none
6H	11_10040	65.03	none	none
6H	11_20709	65.03	none	none
6H	11_20015	65.03	none	none
6H	11_10124	65.03	none	none
6H	12_10504	67.04	none	none
6H	11_20714	67.04	none	none
6H	11_21469	67.7	none	none
6H	11_20636	67.7	none	none
6H	11_20468	67.7	none	none
6H	12_31289	69.38	none	none
6H	11_20673	70.04	none	none
6H	11_20620	70.04	none	none
6H	12_10596	70.04	none	none
6H	11_20892	70.04	none	none
6H	11_11349	71.08	none	none
6H	11_20577	71.08	none	none
6H	12_31250	71.08	none	none
6H	11_20784	71.08	none	none
6H	11_21256	71.87	none	none
6H	12_31101	71.87	none	none
6H	11_11459	71.87	none	none
6H	11_20744	71.87	none	none
6H	11_20053	72.54	none	none
6H	11_20488	72.54	none	none
6H	12_30236	72.54	none	none
6H	12_31111	72.54	none	none
6H	12_30940	72.54	none	none
6H	11_10469	72.54	none	none
6H	12_31088	74.55	none	none
6H	11_20889	75.21	none	none
6H	11_20969	75.21	none	none
6H	11_20682	75.21	none	none
6H	11_20746	76.55	none	none
6H	12_30573	76.55	none	none
6H	12_30148	77.22	none	none
6H	12_31253	77.89	none	none
6H	11_21224	77.89	none	none
6H	11_10608	80.52	none	none
6H	11_11458	81.17	none	none
6H	11_10220	81.17	none	none
6H	11_10331	81.22	none	none
6H	11_10185	81.88	none	none
6H	11_11246	81.88	none	none
6H	11_20346	82.56	none	none
6H	11_21404	82.56	none	none
6H	11_11147	83.89	none	none
6H	11_20654	84.51	none	none
6H	11_10815	85.16	none	none
6H	12_30698	86.88	none	none
6H	11_20783	88.9	none	none
6H	11_10400	88.9	none	none
6H	11_21025	89.57	none	none
6H	11_10202	90.15	none	none
6H	12_30626	90.83	none	none
6H	12_31235	91.79	none	none
6H	11_20996	93.12	none	none
6H	12_30931	93.12	none	none
6H	11_20728	93.66	none	none
6H	11_11294	93.66	none	none
6H	11_10978	94.73	none	none
6H	11_20972	94.73	none	none
6H	11_10595	94.73	none	none
6H	12_31432	94.73	none	none
6H	11_10734	96.73	none	none
6H	12_31353	97.39	none	none
6H	11_20118	97.39	none	none
6H	11_10139	97.39	none	none
6H	12_11494	97.39	none	none
6H	11_20531	97.39	none	none
6H	11_10015	97.39	none	none
6H	12_30151	97.39	none	none
6H	12_31042	97.39	none	none
6H	12_31043	97.39	none	none
6H	12_31044	97.39	none	none
6H	12_31048	97.39	none	none
6H	12_31049	97.39	none	none
6H	12_31115	100.1	none	none
6H	11_20379	101.44	none	none
6H	11_20725	105.6	none	none
6H	11_21271	105.6	none	none
6H	11_20467	105.6	none	none
6H	11_20036	105.6	none	none
6H	11_20355	110.32	none	none
6H	12_30734	110.32	none	none
6H	12_20448	110.99	none	none
6H	11_11534	112.32	none	none
6H	12_31495	112.32	none	none
6H	11_20733	112.32	none	none
6H	11_20558	112.32	none	none
6H	11_10239	112.32	none	none
6H	12_31198	117.01	none	none
6H	12_21477	117.01	none	none
6H	12_30025	117.68	none	none
6H	11_10645	118.35	none	none
6H	12_31277	118.35	none	none
6H	12_31392	119.02	none	none
6H	11_10175	119.02	none	none
6H	12_30355	119.02	none	none
6H	12_10051	119.02	none	none
6H	12_10071	119.02	none	none
6H	11_10107	119.02	none	none
6H	11_21467	119.67	none	none
6H	11_21455	119.67	none	none
6H	12_30057	121.22	none	none
6H	11_11187	121.22	none	none
6H	12_31126	121.22	none	none
6H	11_20005	122.53	none	none
6H	11_20029	123.19	none	none
6H	11_10748	123.84	none	none
6H	11_20211	123.84	none	none
6H	11_11488	123.84	none	none
6H	11_10828	124.85	none	none
6H	12_31283	124.85	none	none
6H	11_20687	124.85	none	none
6H	11_20868	124.85	none	none
6H	12_20907	124.85	none	none
6H	12_30414	124.85	none	none
6H	11_20817	124.85	none	none
6H	12_31469	126.18	none	none
6H	12_31498	126.18	none	none
6H	11_21112	126.85	none	none
6H	11_10390	128.48	none	none
6H	11_11111	128.48	none	none
6H	12_30627	129.38	none	none
6H	11_20537	129.38	none	none
6H	12_30956	129.38	none	none
7H	11_21516	0	none	none
7H	12_30959	0	none	none
7H	12_10036	0	none	none
7H	11_20303	0	none	none
7H	12_30296	0	none	none
7H	12_20016	0	none	none
7H	11_10971	0	none	none
7H	12_31072	0	none	none
7H	12_31076	0	none	none
7H	11_10682	0.62	none	none
7H	11_21443	0.62	none	none
7H	11_11132	0.62	none	none
7H	12_30472	0.62	none	none
7H	11_10894	1.89	none	none
7H	11_10121	1.89	none	none
7H	12_20201	1.89	none	none
7H	11_21307	1.89	none	none
7H	12_31350	3.34	none	none
7H	12_10375	3.34	none	none
7H	11_11179	4.12	none	none
7H	11_20242	4.89	none	none
7H	12_30836	4.89	none	none
7H	12_31173	4.89	none	none
7H	11_11031	5.52	none	none
7H	11_11495	6.14	none	none
7H	12_11433	6.78	none	none
7H	12_10406	6.78	none	none
7H	11_20534	6.79	none	none
7H	12_11035	9.84	none	none
7H	11_20307	9.84	none	none
7H	11_20245	12.42	none	none
7H	12_31450	12.42	none	none
7H	12_20227	12.51	none	none
7H	11_10841	14.96	none	none
7H	11_10851	14.96	none	none
7H	11_20755	15.93	none	none
7H	11_20014	17.2	none	none
7H	11_21437	17.2	none	none
7H	12_30902	17.56	none	none
7H	12_11052	19.11	none	none
7H	12_30723	19.11	none	none
7H	11_20722	19.25	none	none
7H	11_21050	19.85	none	none
7H	11_10025	21.13	none	none
7H	11_20495	25.7	none	none
7H	12_30530	25.93	none	none
7H	11_20443	27.5	none	none
7H	12_30780	29.82	none	none
7H	12_31351	29.82	none	none
7H	11_10965	29.82	none	none
7H	12_30040	31.75	none	none
7H	11_20162	31.75	none	none
7H	11_10920	31.75	none	none
7H	12_30063	31.75	none	none
7H	11_20507	31.75	none	none
7H	11_10451	32.63	none	none
7H	12_30702	32.63	none	none
7H	11_20758	32.63	none	none
7H	11_10232	34.82	none	none
7H	11_20993	34.82	none	none
7H	12_30141	34.82	none	none
7H	11_20192	34.82	none	none
7H	12_30083	34.82	none	none
7H	12_30219	34.82	none	none
7H	12_30242	36.77	none	none
7H	12_30893	37.55	none	none
7H	12_30894	37.55	none	none
7H	12_30895	37.55	none	none
7H	11_11068	37.55	none	none
7H	11_20126	37.55	none	none
7H	11_10838	38.32	none	none
7H	12_10218	39.04	none	none
7H	11_10056	40.18	none	none
7H	12_31305	40.96	none	none
7H	11_10576	41.85	none	none
7H	11_10327	42.6	none	none
7H	12_30065	42.6	none	none
7H	12_10979	43.38	none	none
7H	12_10368	45.71	none	none
7H	12_30143	45.71	none	none
7H	11_21528	46.19	none	none
7H	12_11339	48.13	none	none
7H	11_21491	48.9	none	none
7H	12_30528	49.68	none	none
7H	11_20357	49.68	none	none
7H	11_21326	49.68	none	none
7H	11_20249	52.82	none	none
7H	12_30545	53.6	none	none
7H	12_30752	53.6	none	none
7H	11_10772	54.37	none	none
7H	12_30371	54.37	none	none
7H	11_20074	54.37	none	none
7H	12_20031	55.63	none	none
7H	11_20466	55.63	none	none
7H	12_10696	55.63	none	none
7H	11_20790	55.63	none	none
7H	11_20113	56.81	none	none
7H	11_10726	56.81	none	none
7H	12_30290	57.58	none	none
7H	12_30181	58.36	none	none
7H	12_10959	58.57	none	none
7H	12_30576	58.57	none	none
7H	11_11014	60.69	none	none
7H	12_30879	61.32	none	none
7H	12_30880	61.32	none	none
7H	12_10403	61.32	none	none
7H	11_10346	61.32	none	none
7H	11_10721	62.88	none	none
7H	11_10050	63.66	none	none
7H	11_20975	63.66	none	none
7H	12_30149	63.66	none	none
7H	12_10605	64.8	none	none
7H	11_20750	68.46	none	none
7H	12_10657	68.46	none	none
7H	11_21270	68.46	none	none
7H	12_10267	68.46	none	none
7H	11_20671	68.46	none	none
7H	11_11098	68.46	none	none
7H	12_11525	68.46	none	none
7H	12_30639	68.46	none	none
7H	12_31463	68.46	none	none
7H	11_11348	70.4	none	none
7H	12_31441	70.4	none	none
7H	12_11242	71.1	none	none
7H	11_11028	71.1	none	none
7H	11_20060	71.1	none	none
7H	11_10431	71.1	none	none
7H	11_20195	71.1	none	none
7H	12_30125	71.73	none	none
7H	12_30832	73.75	none	none
7H	11_10153	73.75	none	none
7H	12_11257	73.75	none	none
7H	12_30496	73.75	none	none
7H	11_10299	73.75	none	none
7H	12_31452	73.75	none	none
7H	12_11202	73.75	none	none
7H	11_11122	73.75	none	none
7H	11_20827	73.75	none	none
7H	12_21492	73.75	none	none
7H	12_11045	73.75	none	none
7H	12_11103	73.75	none	none
7H	12_30997	73.75	none	none
7H	12_31120	74.52	none	none
7H	11_10983	74.52	none	none
7H	12_21167	74.52	none	none
7H	11_20885	74.52	none	none
7H	12_30344	76.08	none	none
7H	12_30595	76.17	none	none
7H	12_10655	76.17	none	none
7H	12_30581	77.45	none	none
7H	11_10083	77.45	none	none
7H	11_20911	77.85	none	none
7H	11_10256	77.85	none	none
7H	11_20879	77.85	none	none
7H	12_10698	77.85	none	none
7H	12_10268	77.85	none	none
7H	12_30760	77.85	none	none
7H	11_10924	77.85	none	none
7H	12_30794	77.85	none	none
7H	12_30053	77.85	none	none
7H	12_30486	77.85	none	none
7H	11_10394	77.85	none	none
7H	12_30544	77.85	none	none
7H	11_20893	77.85	none	none
7H	12_10222	77.85	none	none
7H	12_30411	77.85	none	none
7H	12_30492	77.85	none	none
7H	12_31227	77.85	none	none
7H	11_20828	77.85	none	none
7H	11_20314	77.85	none	none
7H	12_10459	77.85	none	none
7H	12_31000	78.22	none	none
7H	12_11477	78.22	none	none
7H	11_10115	78.22	none	none
7H	12_30481	78.22	none	none
7H	11_10073	78.22	none	none
7H	11_21494	79.6	none	none
7H	11_10055	79.6	none	none
7H	12_30589	79.6	none	none
7H	12_10581	79.6	none	none
7H	11_11219	79.6	none	none
7H	11_21178	79.6	none	none
7H	12_30574	79.6	none	none
7H	12_30475	79.6	none	none
7H	12_11146	79.6	none	none
7H	12_21319	79.6	none	none
7H	11_21335	79.6	none	none
7H	12_30449	79.6	none	none
7H	11_11352	79.6	none	none
7H	11_10773	79.6	none	none
7H	12_31140	79.6	none	none
7H	11_11145	79.6	none	none
7H	12_31345	79.6	none	none
7H	12_30600	79.6	none	none
7H	12_11536	79.6	none	none
7H	11_10370	79.6	none	none
7H	11_21302	79.6	none	none
7H	12_10713	79.6	none	none
7H	12_30835	79.6	none	none
7H	12_30621	79.6	none	none
7H	12_30550	79.6	none	none
7H	12_31215	79.6	none	none
7H	12_30445	79.6	none	none
7H	11_20200	79.6	none	none
7H	12_30389	79.6	none	none
7H	11_11291	79.6	none	none
7H	12_30563	79.6	none	none
7H	12_31418	79.6	none	none
7H	11_20460	79.6	none	none
7H	11_10534	80.94	none	none
7H	12_30565	80.94	none	none
7H	11_11461	82.34	none	none
7H	12_11091	83.44	none	none
7H	11_10673	83.44	none	none
7H	12_30506	83.44	none	none
7H	12_10982	83.44	none	none
7H	11_20205	83.44	none	none
7H	12_10125	83.44	none	none
7H	11_10069	83.44	none	none
7H	11_21079	83.44	none	none
7H	11_20349	83.44	none	none
7H	12_10369	83.44	none	none
7H	12_31211	83.44	none	none
7H	12_30213	83.44	none	none
7H	12_30645	84.07	none	none
7H	12_11377	84.07	none	none
7H	12_11499	84.92	none	none
7H	11_20880	84.92	none	none
7H	12_30998	84.92	none	none
7H	12_11529	84.92	none	none
7H	11_11445	84.92	none	none
7H	12_21520	84.92	none	none
7H	11_10531	84.92	none	none
7H	11_10442	84.92	none	none
7H	12_11055	84.92	none	none
7H	11_11239	84.92	none	none
7H	11_20230	86.44	none	none
7H	11_20042	86.44	none	none
7H	12_30199	86.44	none	none
7H	11_20896	86.44	none	none
7H	12_31199	86.44	none	none
7H	11_21330	86.44	none	none
7H	12_31137	86.44	none	none
7H	11_21409	87.21	none	none
7H	11_20771	87.21	none	none
7H	11_10143	87.97	none	none
7H	11_10303	87.97	none	none
7H	12_10089	87.97	none	none
7H	11_20083	87.97	none	none
7H	12_30419	88.65	none	none
7H	11_20485	88.65	none	none
7H	12_30026	91.79	none	none
7H	12_20685	91.79	none	none
7H	12_11437	91.79	none	none
7H	12_30996	91.79	none	none
7H	12_30301	91.79	none	none
7H	11_21448	98.5	none	none
7H	11_21201	98.5	none	none
7H	11_21173	98.5	none	none
7H	12_31395	99.67	none	none
7H	12_30806	99.67	none	none
7H	12_31188	100.54	none	none
7H	11_20808	101.32	none	none
7H	12_30335	101.32	none	none
7H	12_20611	102.85	none	none
7H	11_20103	102.85	none	none
7H	12_30168	102.85	none	none
7H	12_31294	103.62	none	none
7H	12_31440	103.62	none	none
7H	12_11051	103.62	none	none
7H	12_30630	103.62	none	none
7H	11_10169	104.78	none	none
7H	12_21464	104.78	none	none
7H	12_31261	107.11	none	none
7H	11_20824	107.9	none	none
7H	12_10362	108.67	none	none
7H	12_20406	108.67	none	none
7H	12_20684	109.73	none	none
7H	11_20385	110.99	none	none
7H	11_20652	110.99	none	none
7H	11_20092	110.99	none	none
7H	11_10853	110.99	none	none
7H	12_10241	112.46	none	none
7H	11_10563	112.46	none	none
7H	12_10652	112.46	none	none
7H	11_20570	112.46	none	none
7H	12_30362	114.78	none	none
7H	11_20247	116.33	none	none
7H	12_21208	116.33	none	none
7H	12_31363	116.95	none	none
7H	12_30797	116.95	none	none
7H	12_30368	118.9	none	none
7H	12_30164	119.54	none	none
7H	12_11184	119.54	none	none
7H	12_20217	121.09	none	none
7H	12_10543	122.07	none	none
7H	12_31232	122.07	none	none
7H	11_11243	122.07	none	none
7H	11_20354	125.17	none	none
7H	12_31535	125.17	none	none
7H	12_31374	126.68	none	none
7H	11_11521	127.45	none	none
7H	11_10182	128.36	none	none
7H	12_11279	128.36	none	none
7H	11_21229	128.36	none	none
7H	12_20832	129.14	none	none
7H	11_21209	129.91	none	none
7H	11_21104	133.79	none	none
7H	11_10861	133.79	none	none
7H	11_10078	136.62	none	none
7H	11_10797	136.62	none	none
7H	11_21160	136.62	none	none
7H	12_30831	136.62	none	none
7H	12_30380	138.17	none	none
7H	11_10885	139.72	none	none
7H	12_10973	140.21	none	none
7H	11_20847	140.21	none	none
7H	11_10454	140.21	none	none
7H	11_10687	140.99	none	none
7H	11_20139	141.76	none	none
7H	12_30761	141.76	none	none
7H	11_21280	141.76	none	none
7H	11_10550	143.68	none	none
7H	12_20949	143.68	none	none
7H	12_10677	143.68	none	none
7H	12_31325	143.68	none	none
7H	12_31491	143.68	none	none
7H	11_21363	144.45	none	none
7H	11_10843	144.45	none	none
7H	11_11440	144.45	none	none
7H	12_31166	144.45	none	none
7H	11_20414	144.45	none	none
7H	11_20452	144.45	none	none
7H	11_21223	144.45	none	none
7H	12_30593	144.45	none	none
7H	11_11012	147.47	none	none
7H	11_10130	147.48	none	none
7H	12_21016	147.48	none	none
7H	12_11309	148.25	none	none
7H	11_10896	148.25	none	none
7H	11_11275	149.03	none	none
7H	12_21328	149.03	none	none
7H	12_20926	149.8	none	none
7H	11_20962	149.8	none	none
7H	12_30244	151.35	none	none
7H	12_20079	157	none	none
7H	11_20117	157	none	none
7H	11_20504	157.76	none	none
7H	11_21086	159.27	none	none
7H	11_10999	161.43	none	none
7H	11_20586	161.43	none	none
7H	12_30974	161.43	none	none
7H	11_20170	161.54	none	none
7H	11_20365	166.56	none	none
7H	11_10174	166.56	none	none
7H	12_30826	166.56	none	none
7H	12_10378	166.56	none	none
7H	12_31019	166.56	none	none
